price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
225000,planta_3,interior,2,58.0,no,no,palos_de_moguer,arganzuela
498000,planta_5,exterior,3,143.0,yes,yes,imperial,arganzuela
335000,planta_1,exterior,1,61.0,yes,yes,acacias,arganzuela
340000,planta_5,exterior,1,60.0,yes,yes,acacias,arganzuela
240000,bajo,interior,1,54.0,yes,no,acacias,arganzuela
450000,planta_12,exterior,3,98.0,yes,no,legazpi,arganzuela
348000,planta_2,exterior,1,60.0,yes,yes,acacias,arganzuela
355000,planta_6,exterior,3,82.0,yes,no,acacias,arganzuela
525000,planta_4,exterior,4,136.0,yes,no,palos_de_moguer,arganzuela
390000,planta_1,exterior,3,107.0,yes,no,palos_de_moguer,arganzuela
499000,planta_7,exterior,2,102.0,yes,no,imperial,arganzuela
144800,sotano,interior,2,40.0,no,no,delicias,arganzuela
280000,planta_2,interior,3,73.0,yes,no,chopera,arganzuela
313000,planta_1,exterior,2,67.0,yes,no,imperial,arganzuela
190000,planta_3,interior,2,44.0,yes,no,chopera,arganzuela
900000,planta_4,exterior,8,254.0,yes,no,palos_de_moguer,arganzuela
219000,planta_1,interior,2,53.0,yes,no,palos_de_moguer,arganzuela
168800,planta_1,interior,2,37.0,yes,no,palos_de_moguer,arganzuela
698000,planta_1,exterior,4,130.0,yes,yes,acacias,arganzuela
610000,planta_3,exterior,3,131.0,yes,no,palos_de_moguer,arganzuela
299000,planta_4,interior,3,76.0,yes,no,chopera,arganzuela
335000,planta_3,exterior,3,79.0,no,no,palos_de_moguer,arganzuela
115000,planta_3,interior,1,21.0,yes,no,acacias,arganzuela
399000,planta_1,unknow,2,83.0,yes,yes,delicias,arganzuela
420000,planta_2,exterior,2,86.0,yes,yes,palos_de_moguer,arganzuela
325000,planta_3,exterior,2,50.0,yes,no,palos_de_moguer,arganzuela
209900,planta_3,exterior,2,53.0,no,no,legazpi,arganzuela
379000,planta_2,interior,3,108.0,yes,no,chopera,arganzuela
365000,planta_2,exterior,1,69.0,yes,no,palos_de_moguer,arganzuela
365000,planta_3,exterior,1,69.0,yes,no,palos_de_moguer,arganzuela
397000,planta_1,exterior,3,100.0,yes,no,palos_de_moguer,arganzuela
149000,bajo,interior,1,32.0,no,no,acacias,arganzuela
415000,planta_4,exterior,3,72.0,yes,no,acacias,arganzuela
767000,planta_4,exterior,3,115.0,yes,yes,acacias,arganzuela
355000,planta_6,exterior,3,79.0,yes,no,acacias,arganzuela
885000,planta_4,exterior,4,148.0,yes,yes,acacias,arganzuela
190000,planta_2,interior,2,50.0,yes,no,imperial,arganzuela
159900,planta_3,interior,1,38.0,yes,no,palos_de_moguer,arganzuela
293000,planta_2,exterior,2,77.0,no,no,palos_de_moguer,arganzuela
429999,planta_1,exterior,2,118.0,yes,yes,legazpi,arganzuela
190000,planta_3,exterior,1,48.0,no,no,imperial,arganzuela
410000,planta_3,interior,2,84.0,yes,yes,palos_de_moguer,arganzuela
520000,planta_2,exterior,4,149.0,yes,no,delicias,arganzuela
135000,bajo,interior,1,32.0,no,no,delicias,arganzuela
350000,planta_2,exterior,1,93.0,yes,yes,legazpi,arganzuela
330000,planta_1,exterior,3,108.0,no,no,chopera,arganzuela
249000,planta_3,interior,2,44.0,yes,no,palos_de_moguer,arganzuela
545000,planta_2,exterior,3,143.0,yes,yes,delicias,arganzuela
230000,bajo,exterior,3,80.0,yes,no,acacias,arganzuela
229000,bajo,exterior,3,66.0,no,no,imperial,arganzuela
169000,planta_1,interior,2,35.0,yes,no,delicias,arganzuela
220000,bajo,exterior,2,64.0,yes,no,palos_de_moguer,arganzuela
159000,planta_2,exterior,1,41.0,yes,no,delicias,arganzuela
439900,planta_7,interior,3,101.0,yes,no,delicias,arganzuela
320000,planta_1,unknow,1,93.0,yes,yes,legazpi,arganzuela
160000,planta_1,unknow,2,44.0,yes,no,delicias,arganzuela
229100,planta_1,exterior,1,49.0,yes,no,delicias,arganzuela
103000,planta_2,unknow,1,22.0,yes,no,acacias,arganzuela
259000,planta_5,exterior,2,56.0,yes,no,delicias,arganzuela
210000,bajo,interior,1,50.0,yes,no,palos_de_moguer,arganzuela
380000,planta_3,exterior,3,89.0,yes,no,legazpi,arganzuela
519000,planta_5,exterior,4,115.0,yes,no,chopera,arganzuela
379000,planta_4,exterior,3,98.0,yes,no,chopera,arganzuela
180000,planta_3,interior,1,50.0,no,no,imperial,arganzuela
395000,bajo,exterior,4,185.0,no,yes,imperial,arganzuela
243999,planta_3,interior,1,60.0,yes,no,chopera,arganzuela
179000,planta_3,interior,1,40.0,yes,no,delicias,arganzuela
475000,planta_2,exterior,5,136.0,no,no,delicias,arganzuela
440000,planta_12,exterior,3,90.0,yes,no,legazpi,arganzuela
450000,planta_4,exterior,4,128.0,yes,no,palos_de_moguer,arganzuela
450000,planta_4,exterior,4,126.0,yes,no,palos_de_moguer,arganzuela
380000,planta_4,exterior,4,98.0,yes,no,chopera,arganzuela
515000,planta_1,exterior,4,131.0,yes,no,chopera,arganzuela
175000,bajo,interior,1,45.0,no,no,delicias,arganzuela
223000,planta_3,interior,2,54.0,yes,no,acacias,arganzuela
545000,planta_8,exterior,4,114.0,yes,yes,palos_de_moguer,arganzuela
278000,planta_1,unknow,3,73.0,yes,no,chopera,arganzuela
309900,planta_7,exterior,1,57.0,yes,yes,legazpi,arganzuela
72000,planta_2,exterior,2,36.0,no,no,delicias,arganzuela
315000,planta_2,interior,3,72.0,yes,no,delicias,arganzuela
640000,planta_4,exterior,3,123.0,yes,yes,legazpi,arganzuela
225000,planta_1,interior,1,40.0,yes,no,delicias,arganzuela
162500,bajo,exterior,3,53.0,yes,no,chopera,arganzuela
285000,planta_5,interior,3,74.0,yes,no,acacias,arganzuela
280000,bajo,exterior,1,71.0,no,no,acacias,arganzuela
399000,planta_1,exterior,2,80.0,yes,yes,legazpi,arganzuela
295000,planta_4,exterior,1,79.0,yes,no,legazpi,arganzuela
525000,planta_4,exterior,4,126.0,yes,no,palos_de_moguer,arganzuela
315000,planta_1,exterior,3,85.0,yes,no,delicias,arganzuela
599000,planta_6,exterior,3,72.0,yes,no,delicias,arganzuela
440000,planta_2,exterior,5,139.0,yes,no,imperial,arganzuela
219000,planta_4,unknow,2,58.0,yes,no,chopera,arganzuela
295000,planta_4,interior,2,60.0,yes,no,palos_de_moguer,arganzuela
535000,bajo,exterior,2,75.0,yes,yes,delicias,arganzuela
330000,planta_4,exterior,1,65.0,yes,yes,imperial,arganzuela
235000,planta_1,exterior,1,37.0,no,no,acacias,arganzuela
800000,planta_1,exterior,4,140.0,yes,no,acacias,arganzuela
130000,planta_4,interior,2,34.0,no,no,palos_de_moguer,arganzuela
443000,planta_8,exterior,3,108.0,yes,no,acacias,arganzuela
364000,planta_3,interior,3,90.0,yes,no,palos_de_moguer,arganzuela
700000,planta_4,exterior,3,114.0,yes,no,acacias,arganzuela
430000,planta_5,exterior,4,108.0,yes,no,palos_de_moguer,arganzuela
359000,planta_2,exterior,1,94.0,yes,yes,legazpi,arganzuela
485000,planta_2,exterior,2,109.0,yes,yes,legazpi,arganzuela
375000,planta_6,exterior,3,84.0,yes,no,chopera,arganzuela
445000,planta_1,unknow,2,92.0,yes,yes,legazpi,arganzuela
150000,planta_1,unknow,2,45.0,no,no,acacias,arganzuela
260000,planta_1,exterior,1,46.0,yes,no,acacias,arganzuela
145000,planta_-1,unknow,1,32.0,no,no,delicias,arganzuela
749000,planta_2,exterior,4,160.0,yes,yes,legazpi,arganzuela
203000,bajo,interior,2,52.0,yes,no,delicias,arganzuela
468999,planta_4,exterior,2,107.0,yes,yes,legazpi,arganzuela
320000,planta_1,exterior,3,70.0,yes,yes,delicias,arganzuela
396000,planta_1,exterior,2,78.0,yes,no,acacias,arganzuela
450000,planta_1,exterior,3,120.0,yes,no,palos_de_moguer,arganzuela
295000,planta_1,exterior,3,76.0,yes,no,imperial,arganzuela
399000,planta_2,interior,3,90.0,yes,no,delicias,arganzuela
295000,planta_3,exterior,2,71.0,yes,no,imperial,arganzuela
239000,planta_3,exterior,3,55.0,no,no,legazpi,arganzuela
675000,planta_6,exterior,4,180.0,yes,no,delicias,arganzuela
176500,planta_1,exterior,1,52.0,no,no,palos_de_moguer,arganzuela
310000,bajo,exterior,1,74.0,yes,no,legazpi,arganzuela
670000,planta_1,exterior,4,169.0,yes,yes,acacias,arganzuela
465000,planta_3,exterior,4,120.0,yes,no,chopera,arganzuela
275000,bajo,exterior,2,123.0,yes,no,acacias,arganzuela
275000,bajo,exterior,1,47.0,no,no,legazpi,arganzuela
370000,planta_1,exterior,1,79.0,yes,no,imperial,arganzuela
387000,planta_1,exterior,1,63.0,yes,yes,legazpi,arganzuela
138000,bajo,exterior,3,40.0,no,no,delicias,arganzuela
460000,planta_2,exterior,4,150.0,yes,no,delicias,arganzuela
249000,planta_5,interior,2,60.0,yes,no,palos_de_moguer,arganzuela
479000,planta_2,exterior,4,113.0,yes,no,imperial,arganzuela
175000,planta_2,interior,2,45.0,yes,no,delicias,arganzuela
605000,planta_1,exterior,3,124.0,yes,yes,imperial,arganzuela
460000,planta_1,exterior,5,120.0,yes,no,delicias,arganzuela
420000,planta_1,exterior,1,92.0,yes,no,legazpi,arganzuela
565000,planta_3,exterior,3,102.0,yes,no,palos_de_moguer,arganzuela
175000,planta_3,interior,2,37.0,yes,no,acacias,arganzuela
385000,planta_2,interior,4,120.0,yes,no,acacias,arganzuela
269000,planta_6,interior,2,50.0,yes,no,palos_de_moguer,arganzuela
475000,planta_3,exterior,4,126.0,yes,no,palos_de_moguer,arganzuela
520000,planta_1,exterior,3,115.0,yes,yes,legazpi,arganzuela
240000,bajo,interior,1,60.0,yes,no,acacias,arganzuela
395000,planta_5,exterior,2,72.0,yes,yes,legazpi,arganzuela
172000,planta_1,interior,1,42.0,no,no,imperial,arganzuela
320000,planta_2,exterior,1,56.0,yes,yes,legazpi,arganzuela
199990,planta_1,interior,2,45.0,yes,no,palos_de_moguer,arganzuela
440000,planta_4,exterior,3,105.0,yes,no,imperial,arganzuela
295000,planta_3,exterior,3,55.0,yes,no,chopera,arganzuela
340000,planta_3,exterior,2,68.0,yes,no,palos_de_moguer,arganzuela
170000,bajo,interior,2,32.0,yes,no,palos_de_moguer,arganzuela
360000,planta_1,exterior,4,105.0,yes,no,delicias,arganzuela
449000,planta_3,exterior,3,86.0,yes,no,imperial,arganzuela
375000,planta_1,exterior,2,65.0,no,no,legazpi,arganzuela
299000,planta_2,exterior,1,59.0,yes,yes,legazpi,arganzuela
485000,planta_4,exterior,3,113.0,yes,no,chopera,arganzuela
475000,planta_5,exterior,2,60.0,yes,yes,legazpi,arganzuela
425000,planta_4,exterior,3,72.0,yes,no,acacias,arganzuela
520000,planta_1,exterior,3,135.0,yes,no,palos_de_moguer,arganzuela
415000,planta_7,exterior,3,57.0,yes,no,palos_de_moguer,arganzuela
320000,planta_1,exterior,3,71.0,yes,no,palos_de_moguer,arganzuela
620000,planta_2,exterior,3,126.0,yes,yes,imperial,arganzuela
320000,bajo,exterior,1,52.0,no,no,palos_de_moguer,arganzuela
380000,planta_1,exterior,2,72.0,yes,no,palos_de_moguer,arganzuela
320000,planta_5,exterior,1,60.0,yes,no,acacias,arganzuela
124000,planta_4,interior,1,36.0,no,no,delicias,arganzuela
345000,planta_1,exterior,3,109.0,yes,no,delicias,arganzuela
670000,planta_5,exterior,3,119.0,yes,no,acacias,arganzuela
595000,planta_2,exterior,3,100.0,yes,yes,delicias,arganzuela
538000,planta_1,exterior,2,97.0,yes,no,legazpi,arganzuela
299900,planta_2,exterior,3,84.0,yes,no,delicias,arganzuela
255000,bajo,exterior,1,74.0,no,no,imperial,arganzuela
272000,bajo,exterior,1,81.0,no,no,imperial,arganzuela
299000,planta_6,interior,2,56.0,yes,no,palos_de_moguer,arganzuela
385000,bajo,exterior,3,87.0,yes,no,legazpi,arganzuela
445000,planta_3,exterior,4,112.0,yes,no,delicias,arganzuela
300000,planta_1,exterior,3,68.0,yes,no,acacias,arganzuela
410000,planta_1,exterior,3,142.0,yes,no,imperial,arganzuela
515000,planta_5,unknow,3,112.0,yes,no,chopera,arganzuela
132000,semi-sotano,interior,1,50.0,no,no,imperial,arganzuela
450000,planta_6,exterior,3,113.0,yes,yes,delicias,arganzuela
499000,planta_3,exterior,3,121.0,yes,no,acacias,arganzuela
350000,planta_1,exterior,3,87.0,yes,no,palos_de_moguer,arganzuela
340000,planta_2,exterior,3,80.0,yes,no,palos_de_moguer,arganzuela
360000,planta_4,interior,3,72.0,yes,no,palos_de_moguer,arganzuela
1610000,planta_3,exterior,4,384.0,yes,no,palos_de_moguer,arganzuela
129000,sotano,interior,2,44.0,yes,no,acacias,arganzuela
145000,planta_2,interior,1,43.0,yes,no,delicias,arganzuela
490000,bajo,exterior,4,160.0,no,yes,imperial,arganzuela
175000,planta_2,interior,1,32.0,yes,no,delicias,arganzuela
299000,planta_2,interior,2,60.0,yes,no,acacias,arganzuela
155000,planta_2,interior,2,41.0,yes,no,imperial,arganzuela
349000,planta_2,exterior,2,97.0,yes,no,acacias,arganzuela
430000,planta_3,exterior,2,80.0,yes,yes,legazpi,arganzuela
339000,planta_7,interior,2,80.0,yes,no,imperial,arganzuela
189000,planta_2,unknow,1,40.0,no,no,acacias,arganzuela
155000,planta_3,interior,1,34.0,no,no,imperial,arganzuela
350000,planta_2,interior,2,62.0,yes,no,chopera,arganzuela
345000,planta_4,interior,4,100.0,yes,no,palos_de_moguer,arganzuela
269900,entreplanta,exterior,3,92.0,no,no,chopera,arganzuela
440000,planta_5,exterior,3,136.0,yes,yes,legazpi,arganzuela
140000,planta_5,interior,2,41.0,no,no,imperial,arganzuela
379000,planta_1,exterior,3,101.0,yes,no,delicias,arganzuela
177000,bajo,exterior,1,36.0,yes,no,palos_de_moguer,arganzuela
165000,planta_1,interior,1,33.0,yes,no,palos_de_moguer,arganzuela
515500,planta_4,exterior,2,100.0,yes,yes,delicias,arganzuela
555000,planta_4,exterior,4,121.0,yes,no,palos_de_moguer,arganzuela
165000,bajo,exterior,3,84.0,yes,no,imperial,arganzuela
298000,planta_4,exterior,1,64.0,yes,no,delicias,arganzuela
480000,planta_1,exterior,2,101.0,yes,yes,legazpi,arganzuela
398000,planta_1,exterior,2,71.0,yes,yes,legazpi,arganzuela
387000,planta_2,exterior,2,71.0,yes,yes,legazpi,arganzuela
410000,planta_4,exterior,3,100.0,yes,no,chopera,arganzuela
550000,planta_6,interior,4,120.0,yes,no,chopera,arganzuela
230000,bajo,interior,2,53.0,yes,no,delicias,arganzuela
185000,bajo,interior,1,45.0,yes,no,palos_de_moguer,arganzuela
144800,bajo,exterior,3,40.0,no,no,delicias,arganzuela
180000,bajo,interior,1,45.0,yes,no,chopera,arganzuela
392400,bajo,exterior,2,77.0,yes,no,palos_de_moguer,arganzuela
373000,planta_4,exterior,2,93.0,yes,no,chopera,arganzuela
545000,planta_4,exterior,4,156.0,yes,no,delicias,arganzuela
373800,planta_3,exterior,2,89.0,yes,no,chopera,arganzuela
390000,planta_1,exterior,3,90.0,yes,no,chopera,arganzuela
460000,planta_2,interior,2,90.0,yes,no,chopera,arganzuela
449900,planta_2,exterior,3,106.0,yes,no,palos_de_moguer,arganzuela
239000,planta_2,interior,3,62.0,yes,no,palos_de_moguer,arganzuela
574500,planta_3,exterior,3,118.0,yes,yes,imperial,arganzuela
219900,planta_2,interior,2,48.0,yes,no,palos_de_moguer,arganzuela
355000,planta_6,exterior,3,82.0,no,no,acacias,arganzuela
150000,bajo,exterior,1,30.0,no,no,palos_de_moguer,arganzuela
315000,planta_3,exterior,2,45.0,yes,no,imperial,arganzuela
442589,planta_1,exterior,2,82.0,yes,yes,legazpi,arganzuela
295240,planta_1,exterior,1,54.0,yes,yes,legazpi,arganzuela
753277,planta_5,exterior,3,120.0,yes,yes,legazpi,arganzuela
664330,planta_4,exterior,3,124.0,yes,yes,legazpi,arganzuela
853203,planta_3,exterior,4,168.0,yes,yes,legazpi,arganzuela
619100,planta_2,exterior,3,122.0,yes,yes,legazpi,arganzuela
463308,planta_2,exterior,2,88.0,yes,yes,legazpi,arganzuela
239000,planta_3,interior,1,51.0,yes,no,chopera,arganzuela
265000,planta_3,exterior,2,60.0,no,no,imperial,arganzuela
240000,planta_3,exterior,3,54.0,no,no,legazpi,arganzuela
325000,planta_3,exterior,1,63.0,yes,yes,delicias,arganzuela
480000,bajo,exterior,3,143.0,yes,no,imperial,arganzuela
675000,planta_1,exterior,7,170.0,yes,no,delicias,arganzuela
135000,planta_1,interior,2,81.0,yes,no,acacias,arganzuela
443000,planta_5,exterior,4,131.0,yes,no,palos_de_moguer,arganzuela
177500,planta_1,interior,2,50.0,no,no,imperial,arganzuela
250000,bajo,exterior,1,80.0,yes,no,chopera,arganzuela
230000,planta_5,interior,2,42.0,yes,no,palos_de_moguer,arganzuela
420000,planta_2,exterior,4,110.0,yes,no,delicias,arganzuela
365000,planta_4,exterior,1,75.0,yes,no,palos_de_moguer,arganzuela
359000,planta_5,interior,3,115.0,yes,no,delicias,arganzuela
395000,planta_2,interior,3,80.0,yes,no,delicias,arganzuela
365000,planta_4,exterior,1,71.0,yes,no,palos_de_moguer,arganzuela
185000,bajo,interior,1,47.0,yes,no,palos_de_moguer,arganzuela
1200000,planta_5,exterior,3,225.0,yes,yes,acacias,arganzuela
800000,planta_9,exterior,4,146.0,yes,yes,legazpi,arganzuela
527000,planta_4,exterior,4,133.0,yes,no,acacias,arganzuela
220000,sotano,interior,2,125.0,yes,no,imperial,arganzuela
135000,bajo,exterior,1,34.0,no,no,imperial,arganzuela
145000,planta_3,interior,2,37.0,no,no,chopera,arganzuela
264000,entreplanta,exterior,3,92.0,yes,no,chopera,arganzuela
395000,bajo,exterior,4,143.0,no,yes,imperial,arganzuela
269900,entreplanta,exterior,3,92.0,yes,no,chopera,arganzuela
223000,planta_3,interior,2,55.0,yes,no,acacias,arganzuela
379900,bajo,exterior,1,42.0,yes,yes,palos_de_moguer,arganzuela
185000,sotano,exterior,2,67.0,yes,no,chopera,arganzuela
485000,planta_8,exterior,4,110.0,yes,no,chopera,arganzuela
390000,planta_2,interior,3,90.0,yes,no,palos_de_moguer,arganzuela
394816,planta_5,exterior,1,61.0,yes,yes,legazpi,arganzuela
517833,planta_2,exterior,2,103.0,yes,yes,legazpi,arganzuela
812680,planta_1,exterior,4,169.0,yes,yes,legazpi,arganzuela
398000,planta_2,exterior,4,109.0,yes,no,palos_de_moguer,arganzuela
440000,planta_3,exterior,2,80.0,yes,yes,acacias,arganzuela
385000,planta_3,exterior,2,90.0,yes,no,palos_de_moguer,arganzuela
330000,planta_5,exterior,3,82.0,yes,no,acacias,arganzuela
370000,planta_1,exterior,1,80.0,yes,no,imperial,arganzuela
330000,planta_4,exterior,2,72.0,yes,no,acacias,arganzuela
840000,planta_1,exterior,4,121.0,yes,yes,acacias,arganzuela
395000,entreplanta,exterior,4,184.0,no,yes,imperial,arganzuela
370000,planta_6,interior,3,89.0,yes,yes,acacias,arganzuela
215000,planta_5,interior,1,47.0,yes,no,acacias,arganzuela
340400,planta_3,exterior,1,65.0,yes,no,imperial,arganzuela
249000,bajo,exterior,1,59.0,no,no,delicias,arganzuela
275000,planta_3,exterior,1,55.0,no,no,palos_de_moguer,arganzuela
280000,planta_2,interior,2,57.0,no,no,acacias,arganzuela
233000,planta_3,interior,1,48.0,no,no,imperial,arganzuela
235000,planta_2,exterior,2,66.0,yes,no,chopera,arganzuela
355000,bajo,exterior,3,96.0,yes,no,delicias,arganzuela
349000,planta_3,interior,2,75.0,yes,no,delicias,arganzuela
600000,planta_5,exterior,2,137.0,yes,yes,legazpi,arganzuela
605000,planta_1,exterior,3,124.0,yes,no,imperial,arganzuela
650000,bajo,exterior,4,279.0,yes,no,imperial,arganzuela
299000,planta_4,exterior,2,71.0,yes,no,delicias,arganzuela
465000,planta_5,exterior,2,76.0,yes,yes,legazpi,arganzuela
362000,planta_6,exterior,1,48.0,yes,yes,imperial,arganzuela
760000,planta_2,exterior,3,132.0,yes,yes,imperial,arganzuela
455000,planta_4,exterior,2,75.0,yes,yes,legazpi,arganzuela
520000,planta_5,exterior,2,86.0,yes,yes,legazpi,arganzuela
580000,planta_6,exterior,3,103.0,yes,yes,legazpi,arganzuela
625000,planta_6,exterior,3,120.0,yes,yes,legazpi,arganzuela
475000,planta_1,exterior,2,96.0,yes,yes,legazpi,arganzuela
480000,planta_1,exterior,2,96.0,yes,yes,legazpi,arganzuela
150000,planta_1,interior,1,50.0,no,no,chopera,arganzuela
368000,planta_1,exterior,2,89.0,yes,no,acacias,arganzuela
150000,bajo,exterior,1,35.0,yes,no,palos_de_moguer,arganzuela
550000,planta_2,exterior,3,115.0,yes,yes,acacias,arganzuela
299000,planta_3,exterior,2,50.0,yes,no,imperial,arganzuela
240000,planta_1,interior,2,50.0,yes,no,palos_de_moguer,arganzuela
210000,planta_4,interior,2,45.0,yes,no,acacias,arganzuela
580000,planta_2,exterior,4,104.0,yes,yes,imperial,arganzuela
800000,planta_8,exterior,4,160.0,yes,no,imperial,arganzuela
485000,planta_7,exterior,1,66.0,yes,no,imperial,arganzuela
449900,planta_2,exterior,3,110.0,yes,no,palos_de_moguer,arganzuela
355000,planta_6,exterior,3,78.0,yes,no,acacias,arganzuela
450000,planta_5,exterior,5,113.0,yes,no,imperial,arganzuela
390000,planta_1,exterior,3,97.0,yes,no,chopera,arganzuela
670900,planta_4,exterior,3,131.0,yes,yes,delicias,arganzuela
675600,planta_4,exterior,3,135.0,yes,yes,delicias,arganzuela
648200,planta_3,exterior,3,135.0,yes,yes,delicias,arganzuela
368900,planta_2,exterior,1,66.0,yes,yes,delicias,arganzuela
373700,planta_2,exterior,1,65.0,yes,yes,delicias,arganzuela
625800,planta_2,exterior,3,135.0,yes,yes,delicias,arganzuela
360800,planta_1,exterior,1,65.0,yes,yes,delicias,arganzuela
462500,planta_1,exterior,2,100.0,yes,yes,delicias,arganzuela
597000,planta_1,exterior,3,135.0,yes,yes,delicias,arganzuela
409000,planta_4,interior,2,70.0,yes,yes,legazpi,arganzuela
280000,entreplanta,exterior,3,77.0,yes,no,chopera,arganzuela
355000,planta_6,exterior,2,77.0,yes,no,palos_de_moguer,arganzuela
160000,planta_3,interior,1,37.0,no,no,delicias,arganzuela
210000,planta_2,exterior,2,57.0,yes,no,palos_de_moguer,arganzuela
224000,bajo,exterior,3,59.0,no,no,imperial,arganzuela
